Time(ms),Location(m),Speed(m/s)
88900,7148.73,58.02
89000,7154.53,57.96
89100,7160.32,57.9
89200,7166.11,57.84
89300,7171.89,57.78
89400,7177.66,57.72
89500,7183.43,57.66
89600,7189.19,57.6
89700,7194.95,57.54
89800,7200.7,57.48
89900,7206.45,57.42
90000,7212.19,57.36
90100,7217.92,57.3
90200,7223.65,57.24
90300,7229.37,57.18
90400,7235.08,57.12
90500,7240.79,57.06
90600,7246.49,57
90700,7252.19,56.94
90800,7257.88,56.88
90900,7263.57,56.82
91000,7269.25,56.76
91100,7274.92,56.7
91200,7280.59,56.64
91300,7286.25,56.58
91400,7291.9,56.52
91500,7297.55,56.46
91600,7303.19,56.4
91700,7308.83,56.34
91800,7314.46,56.28
91900,7320.09,56.22
92000,7325.71,56.16
92100,7331.32,56.1
92200,7336.93,56.04
92300,7342.53,55.98
92400,7348.12,55.92
92500,7353.71,55.86
92600,7359.29,55.8
92700,7364.87,55.74
92800,7370.44,55.68
92900,7376.01,55.62
93000,7381.57,55.56
93100,7387.12,55.5
93200,7392.67,55.44
93300,7398.21,55.38
93400,7403.74,55.32
93500,7409.27,55.26
93600,7414.79,55.2
93700,7420.31,55.14
93800,7425.82,55.08
93900,7431.33,55.02
94000,7436.83,54.96
94100,7442.32,54.9
94200,7447.81,54.84
94300,7453.29,54.78
94400,7458.76,54.72
94500,7464.23,54.66
94600,7469.69,54.6
94700,7475.15,54.54
94800,7480.6,54.48
94900,7486.05,54.42
95000,7491.49,54.36
95100,7496.92,54.3
95200,7502.35,54.24
95300,7507.77,54.18
95400,7513.18,54.12
95500,7518.59,54.06
95600,7523.99,54
95700,7529.39,53.94
95800,7534.78,53.88
95900,7540.17,53.82
96000,7545.55,53.76
96100,7550.92,53.7
96200,7556.29,53.64
96300,7561.65,53.58
96400,7567,53.52
96500,7572.35,53.46
96600,7577.69,53.4
96700,7583.03,53.34
96800,7588.36,53.28
96900,7593.69,53.22
97000,7599.01,53.16
97100,7604.32,53.1
97200,7609.63,53.04
97300,7614.93,52.98
97400,7620.22,52.92
97500,7625.51,52.86
97600,7630.79,52.8
97700,7636.07,52.74
97800,7641.34,52.68
97900,7646.61,52.62
98000,7651.87,52.56
98100,7657.12,52.5
98200,7662.37,52.44
98300,7667.61,52.38
98400,7672.84,52.32
98500,7678.07,52.26
98600,7683.29,52.2
98700,7688.51,52.14
98800,7693.72,52.08
98900,7698.93,52.02
99000,7704.13,51.96
99100,7709.32,51.9
99200,7714.51,51.84
99300,7719.69,51.78
99400,7724.86,51.72
99500,7730.03,51.66
99600,7735.19,51.6
99700,7740.35,51.54
99800,7745.5,51.48
99900,7750.65,51.42
100000,7755.79,51.36
100100,7760.92,51.3
100200,7766.05,51.24
100300,7771.17,51.18
100400,7776.28,51.12
100500,7781.39,51.06
100600,7786.49,51
100700,7791.59,50.94
100800,7796.68,50.88
100900,7801.77,50.82
101000,7806.85,50.76
101100,7811.92,50.7
101200,7816.99,50.64
101300,7822.05,50.58
101400,7827.1,50.52
101500,7832.15,50.46
101600,7837.19,50.4
101700,7842.23,50.34
101800,7847.26,50.28
101900,7852.29,50.22
102000,7857.31,50.16
102100,7862.32,50.1
102200,7867.33,50.04
102300,7872.33,49.98
102400,7877.32,49.92
102500,7882.31,49.86
102600,7887.29,49.8
102700,7892.27,49.74
102800,7897.24,49.68
102900,7902.21,49.62
103000,7907.17,49.56
103100,7912.12,49.5
103200,7917.07,49.44
103300,7922.01,49.38
103400,7926.94,49.32
103500,7931.87,49.26
103600,7936.79,49.2
103700,7941.71,49.14
103800,7946.62,49.08
103900,7951.53,49.02
104000,7956.43,48.96
104100,7961.32,48.9
104200,7966.21,48.84
104300,7971.09,48.78
104400,7975.96,48.72
104500,7980.83,48.66
104600,7985.69,48.6
104700,7990.55,48.54
104800,7995.4,48.48
104900,8000.25,48.42
105000,8005.09,48.36
105100,8009.92,48.3
105200,8014.75,48.24
105300,8019.57,48.18
105400,8024.38,48.12
105500,8029.19,48.06
105600,8033.99,48
105700,8038.79,47.94
105800,8043.58,47.88
105900,8048.37,47.82
106000,8053.15,47.76
106100,8057.92,47.7
106200,8062.69,47.64
106300,8067.45,47.58
106400,8072.2,47.52
106500,8076.95,47.46
106600,8081.69,47.4
106700,8086.43,47.34
106800,8091.16,47.28
106900,8095.89,47.22
107000,8100.61,47.16
107100,8105.32,47.1
107200,8110.03,47.04
107300,8114.73,46.98
107400,8119.42,46.92
107500,8124.11,46.86
107600,8128.79,46.8
107700,8133.47,46.74
107800,8138.14,46.68
107900,8142.81,46.62
108000,8147.47,46.56
108100,8152.12,46.5
108200,8156.77,46.44
108300,8161.41,46.38
108400,8166.04,46.32
108500,8170.67,46.26
108600,8175.29,46.2
108700,8179.91,46.14
108800,8184.52,46.08
108900,8189.13,46.02
109000,8193.73,45.96
109100,8198.32,45.9
109200,8202.91,45.84
109300,8207.49,45.78
109400,8212.06,45.72
109500,8216.63,45.66
109600,8221.19,45.6
109700,8225.75,45.54
109800,8230.3,45.48
109900,8234.85,45.42
110000,8239.39,45.36
110100,8243.92,45.3
110200,8248.45,45.24
110300,8252.97,45.18
110400,8257.48,45.12
110500,8261.99,45.06
110600,8266.49,45
110700,8270.99,44.94
110800,8275.48,44.88
110900,8279.97,44.82
111000,8284.45,44.76
111100,8288.92,44.7
111200,8293.39,44.64
111300,8297.85,44.58
111400,8302.3,44.52
111500,8306.75,44.46
111600,8311.19,44.4
111700,8315.63,44.34
111800,8320.06,44.28
111900,8324.49,44.22
112000,8328.91,44.16
112100,8333.32,44.1
112200,8337.73,44.04
112300,8342.13,43.98
112400,8346.52,43.92
112500,8350.91,43.86
112600,8355.29,43.8
112700,8359.67,43.74
112800,8364.04,43.68
112900,8368.41,43.62
113000,8372.77,43.56
113100,8377.12,43.5
113200,8381.47,43.44
113300,8385.81,43.38
113400,8390.14,43.32
113500,8394.47,43.26
113600,8398.79,43.2
113700,8403.11,43.14
113800,8407.42,43.08
113900,8411.73,43.02
114000,8416.03,42.96
114100,8420.32,42.9
114200,8424.61,42.84
114300,8428.89,42.78
114400,8433.16,42.72
114500,8437.43,42.66
114600,8441.69,42.6
114700,8445.95,42.54
114800,8450.2,42.48
114900,8454.45,42.42
115000,8458.69,42.36
115100,8462.92,42.3
115200,8467.15,42.24
115300,8471.37,42.18
115400,8475.58,42.12
115500,8479.79,42.06
115600,8483.99,42
115700,8488.19,41.94
115800,8492.38,41.88
115900,8496.57,41.82
116000,8500.75,41.76
116100,8504.92,41.7
116200,8509.09,41.64
116300,8513.25,41.58
116400,8517.4,41.52
116500,8521.55,41.46
116600,8525.69,41.4
116700,8529.83,41.34
116800,8533.96,41.28
116900,8538.09,41.22
117000,8542.21,41.16
117100,8546.32,41.1
117200,8550.43,41.04
117300,8554.53,40.98
117400,8558.62,40.92
117500,8562.71,40.86
117600,8566.79,40.8
117700,8570.87,40.74
117800,8574.94,40.68
117900,8579.01,40.62
118000,8583.07,40.56
118100,8587.12,40.5
118200,8591.17,40.44
118300,8595.21,40.38
118400,8599.24,40.32
118500,8603.27,40.26
118600,8607.29,40.2
118700,8611.31,40.14
118800,8615.32,40.08
