Time(ms),Location(m),Speed(m/s)
122700,14277.2,1.62
122800,14277.3,1.68
122900,14277.5,1.74
123000,14277.7,1.8
123100,14277.9,1.86
123200,14278.1,1.92
123300,14278.3,1.98
123400,14278.5,2.04
123500,14278.7,2.1
123600,14278.9,2.16
123700,14279.1,2.22
123800,14279.3,2.28
123900,14279.6,2.34
124000,14279.8,2.4
124100,14280,2.46
124200,14280.3,2.52
124300,14280.5,2.58
124400,14280.8,2.64
124500,14281.1,2.7
124600,14281.3,2.76
124700,14281.6,2.82
124800,14281.9,2.88
124900,14282.2,2.94
125000,14282.5,3
125100,14282.8,3.06
125200,14283.1,3.12
125300,14283.4,3.18
125400,14283.7,3.24
125500,14284.1,3.3
125600,14284.4,3.36
125700,14284.7,3.42
125800,14285.1,3.48
125900,14285.4,3.54
126000,14285.8,3.6
126100,14286.2,3.66
126200,14286.5,3.72
126300,14286.9,3.78
126400,14287.3,3.84
126500,14287.7,3.9
126600,14288.1,3.96
126700,14288.5,4.02
126800,14288.9,4.08
126900,14289.3,4.14
127000,14289.7,4.2
127100,14290.1,4.26
127200,14290.5,4.32
127300,14291,4.38
127400,14291.4,4.44
127500,14291.9,4.5
127600,14292.3,4.56
127700,14292.8,4.62
127800,14293.2,4.68
127900,14293.7,4.74
128000,14294.2,4.8
128100,14294.7,4.86
128200,14295.2,4.92
128300,14295.7,4.98
128400,14296.2,5.04
128500,14296.7,5.1
128600,14297.2,5.16
128700,14297.7,5.22
128800,14298.2,5.28
128900,14298.8,5.34
129000,14299.3,5.4
129100,14299.8,5.46
129200,14300.4,5.52
129300,14300.9,5.58
129400,14301.5,5.52
129500,14302.1,5.58
129600,14302.6,5.52
129700,14303.2,5.58
129800,14303.7,5.52
129900,14304.3,5.58
130000,14304.8,5.52
130100,14305.4,5.58
130200,14305.9,5.52
130300,14306.5,5.58
130400,14307,5.52
130500,14307.6,5.58
130600,14308.2,5.52
130700,14308.7,5.58
130800,14309.3,5.52
130900,14309.8,5.58
131000,14310.4,5.52
131100,14310.9,5.58
131200,14311.5,5.52
131300,14312,5.58
131400,14312.6,5.52
131500,14313.2,5.58
131600,14313.7,5.52
131700,14314.3,5.58
131800,14314.8,5.52
131900,14315.4,5.58
132000,14315.9,5.52
132100,14316.5,5.58
132200,14317,5.52
132300,14317.6,5.58
132400,14318.1,5.52
132500,14318.7,5.58
132600,14319.3,5.52
132700,14319.8,5.58
132800,14320.4,5.52
132900,14320.9,5.58
133000,14321.5,5.52
133100,14322,5.58
133200,14322.6,5.52
133300,14323.1,5.58
133400,14323.7,5.52
133500,14324.3,5.58
133600,14324.8,5.52
133700,14325.4,5.58
133800,14325.9,5.52
133900,14326.5,5.58
134000,14327,5.52
134100,14327.6,5.58
134200,14328.1,5.52
134300,14328.7,5.58
134400,14329.2,5.52
134500,14329.8,5.58
134600,14330.4,5.52
134700,14330.9,5.58
134800,14331.5,5.52
134900,14332,5.58
135000,14332.6,5.52
135100,14333.1,5.58
135200,14333.7,5.52
135300,14334.2,5.58
135400,14334.8,5.52
135500,14335.4,5.58
135600,14335.9,5.52
135700,14336.5,5.58
135800,14337,5.52
